DATE,SPOT
2015-01-08,119.5100
2015-01-09,118.6600
2015-01-12,118.3200
2015-01-13,118.1600
2015-01-14,116.7800
2015-01-15,116.9500
2015-01-16,117.4500
2015-01-19,Nan
2015-01-20,118.4800
2015-01-21,117.8600
2015-01-22,117.9200
2015-01-23,117.8000
2015-01-26,118.3800
2015-01-27,117.6200
2015-01-28,117.7400
2015-01-29,118.3100
2015-01-30,117.4400
2015-02-02,117.3300
2015-02-03,117.4800
2015-02-04,117.5800
2015-02-05,117.4000
2015-02-06,119.1600
2015-02-09,118.7000
2015-02-10,119.3200
2015-02-11,120.3800
2015-02-12,118.7200
2015-02-13,118.7000
2015-02-16,Nan
2015-02-17,118.9900
2015-02-18,119.1900
2015-02-19,118.8400
2015-02-20,118.6800
2015-02-23,118.8800
2015-02-24,119.1300
2015-02-25,118.8800
2015-02-26,119.3600
2015-02-27,119.7200
2015-03-02,120.0600
2015-03-03,119.4700
2015-03-04,119.7600
2015-03-05,120.2200
2015-03-06,120.9300
2015-03-09,121.1700
2015-03-10,121.2000
2015-03-11,121.5000
2015-03-12,121.2800
2015-03-13,121.1700
2015-03-16,121.3000
2015-03-17,121.2800
2015-03-18,120.9200
2015-03-19,120.9000
2015-03-20,120.2800
2015-03-23,119.7400
2015-03-24,119.9000
2015-03-25,119.3700
2015-03-26,119.0100
2015-03-27,119.1500
2015-03-30,120.1100
2015-03-31,119.9600
2015-04-01,119.6200
2015-04-02,119.7400
2015-04-03,118.9600
2015-04-06,119.0500
2015-04-07,120.3600
2015-04-08,119.9600
2015-04-09,120.3200
2015-04-10,120.2900
2015-04-13,120.3200
2015-04-14,119.2600
2015-04-15,119.2300
2015-04-16,119.1800
2015-04-17,119.0200
2015-04-20,119.2700
2015-04-21,119.4500
2015-04-22,119.9000
2015-04-23,119.6900
2015-04-24,118.9800
2015-04-27,119.1200
2015-04-28,118.8000
2015-04-29,118.8300
2015-04-30,119.8600
2015-05-01,120.2100
2015-05-04,120.2500
2015-05-05,119.8700
2015-05-06,119.4200
2015-05-07,119.7400
2015-05-08,119.7800
2015-05-11,120.0500
2015-05-12,119.8000
2015-05-13,119.0900
2015-05-14,119.2000
2015-05-15,119.3600
2015-05-18,119.8200
2015-05-19,120.5800
2015-05-20,121.2800
2015-05-21,121.0600
2015-05-22,121.4500
2015-05-25,Nan
2015-05-26,123.0800
2015-05-27,123.7600
2015-05-28,124.1800
2015-05-29,123.9800
2015-06-01,124.6400
2015-06-02,124.1900
2015-06-03,124.0600
2015-06-04,124.5600
2015-06-05,125.5800
2015-06-08,125.0800
2015-06-09,124.1600
2015-06-10,122.7200
2015-06-11,123.6200
2015-06-12,123.2300
2015-06-15,123.3800
2015-06-16,123.3900
2015-06-17,124.2500
2015-06-18,122.8700
2015-06-19,122.7000
2015-06-22,123.2800
2015-06-23,123.7100
2015-06-24,124.2400
2015-06-25,123.6300
2015-06-26,123.9200
2015-06-29,122.5000
2015-06-30,122.1000
2015-07-01,123.0200
2015-07-02,123.1400
2015-07-03,Nan
2015-07-06,122.5300
2015-07-07,122.1600
2015-07-08,120.5400
2015-07-09,121.2200
2015-07-10,122.7500
2015-07-13,123.3500
2015-07-14,123.3900
2015-07-15,123.8900
2015-07-16,124.0400
2015-07-17,124.0000
2015-07-20,124.2400
2015-07-21,123.9300
2015-07-22,124.0800
2015-07-23,123.8800
2015-07-24,123.7400
2015-07-27,123.2400
2015-07-28,123.5200
2015-07-29,123.8600
2015-07-30,124.3800
2015-07-31,123.9400
2015-08-03,123.9800
2015-08-04,124.0000
2015-08-05,124.8400
2015-08-06,124.6000
2015-08-07,124.2700
2015-08-10,124.5500
2015-08-11,124.9000
2015-08-12,123.8700
2015-08-13,124.3200
2015-08-14,124.2700
2015-08-17,124.3300
2015-08-18,124.3900
2015-08-19,124.1000
2015-08-20,123.5400
2015-08-21,122.1100
2015-08-24,118.5600
2015-08-25,119.9100
2015-08-26,119.0700
2015-08-27,120.8900
2015-08-28,121.3200